"","isAllNBA","Year","Player","Position","Rebounds","Assists","Blocks","Steals","Points","Turnovers","FieldGoalPercentage","MinutesPerGame","FoulsPerGame"
"131",FALSE,1978,"Artis Gilmore*","C",13,3,2,0,22,4,0.559,37,3
"132",FALSE,1978,"Mike Glenn","SG",1,1,0,0,7,0,0.527,16,1
"133",FALSE,1978,"Glen Gondrezick","SF",3,1,0,0,4,1,0.386,14,2
"134",FALSE,1978,"Gail Goodrich*","SG",2,4,0,1,16,2,0.495,31,2
"135",FALSE,1978,"Mike Green","C",4,1,1,0,8,1,0.463,19,2
"136",FALSE,1978,"Mike Green","C",6,1,1,0,11,2,0.494,27,2
"137",FALSE,1978,"Mike Green","C",4,1,1,0,7,1,0.457,17,2
"138",FALSE,1978,"Rickey Green","PG",1,1,0,0,4,1,0.381,14,1
"139",FALSE,1978,"Steve Green","SF",1,0,0,0,3,0,0.438,10,1
"140",FALSE,1978,"Kevin Grevey","SF",3,1,0,0,15,1,0.448,26,2
"141",FALSE,1978,"Greg Griffin","SF",2,0,0,0,4,1,0.361,11,1
"142",FALSE,1978,"Paul Griffin","PF",6,2,0,1,5,1,0.447,22,2
"143",FALSE,1978,"Bob Gross","SF",5,3,0,1,12,2,0.529,30,3
"144",FALSE,1978,"Ernie Grunfeld","SG",2,1,0,0,6,1,0.443,17,2
"145",FALSE,1978,"Glenn Hansen","SG",0,0,0,0,0,0,0,2,0
"146",FALSE,1978,"Glenn Hansen","SG",0,0,0,0,0,0,0,2,0
"147",FALSE,1978,"Glenn Hansen","SG",0,0,0,0,0,0,0,3,1
"148",FALSE,1978,"Joe Hassett","SG",0,0,0,0,4,0,0.444,8,0
"149",FALSE,1978,"John Havlicek*","SF",4,4,0,1,16,2,0.449,34,2
"150",FALSE,1978,"Steve Hawes","PF",9,2,0,1,12,1,0.453,31,3
"151",FALSE,1978,"Robert Hawkins","SG",3,2,0,1,10,2,0.46,22,3
"152",FALSE,1978,"Elvin Hayes*","PF",13,1,1,1,19,2,0.451,40,3
"153",FALSE,1978,"Spencer Haywood*","PF",6,1,1,0,13,2,0.484,26,2
"154",FALSE,1978,"Gar Heard","PF",8,1,1,1,7,1,0.424,26,2
"155",FALSE,1978,"Tom Henderson","PG",2,5,0,1,11,2,0.432,30,1
"156",FALSE,1978,"Armond Hill","PG",2,5,0,1,9,2,0.415,30,3
"157",FALSE,1978,"Darnell Hillman","PF",7,1,1,0,10,2,0.479,25,3
"158",FALSE,1978,"Darnell Hillman","PF",7,1,0,1,13,2,0.471,27,3
"159",FALSE,1978,"Darnell Hillman","PF",7,1,1,0,7,2,0.498,22,3
"160",FALSE,1978,"Wilbur Holland","SG",3,3,0,2,16,2,0.443,35,3
"161",FALSE,1978,"Lionel Hollins","PG",3,4,0,1,15,2,0.442,33,3
"162",FALSE,1978,"Lou Hudson","SG",2,2,0,1,13,1,0.497,27,2
"163",FALSE,1978,"Kim Hughes","C",4,0,0,0,2,1,0.356,15,2
"164",FALSE,1978,"Dan Issel*","C",10,3,0,1,21,3,0.512,34,3
"165",FALSE,1978,"Phil Jackson*","PF",1,0,0,0,2,0,0.478,10,1
"166",FALSE,1978,"Aaron James","SF",5,1,0,0,12,1,0.497,26,3
"167",FALSE,1978,"Charles Johnson","SG",2,1,0,0,7,1,0.408,18,1
"168",FALSE,1978,"Charles Johnson","SG",1,1,0,0,6,0,0.409,15,1
"169",FALSE,1978,"Charles Johnson","SG",2,2,0,0,8,1,0.408,20,1
"170",FALSE,1978,"Dennis Johnson*","SG",3,2,0,1,12,2,0.417,27,2
"171",FALSE,1978,"Eddie Johnson","SG",1,2,0,1,10,2,0.484,23,2
"172",FALSE,1978,"George Johnson","C",9,1,3,0,8,2,0.395,29,4
"173",FALSE,1978,"John Johnson","SF",4,2,0,0,10,2,0.415,23,2
"174",FALSE,1978,"John Johnson","SF",3,1,0,0,4,3,0.25,11,3
"175",FALSE,1978,"John Johnson","SF",4,2,0,0,10,2,0.416,23,2
"176",FALSE,1978,"Larry Johnson","SG",1,1,0,1,1,0,0.231,9,0
"177",FALSE,1978,"Marques Johnson","SF",10,2,1,1,19,2,0.522,34,2
"178",FALSE,1978,"Mickey Johnson","PF",9,3,0,1,18,3,0.462,35,3
"179",FALSE,1978,"Ollie Johnson","SF",3,1,0,0,8,1,0.472,20,2
"180",FALSE,1978,"Bobby Jones","PF",8,3,1,1,14,2,0.578,32,2
"181",FALSE,1978,"Caldwell Jones","C",7,1,1,0,5,1,0.471,20,3
"182",FALSE,1978,"Dwight Jones","PF",7,1,0,0,10,2,0.445,30,3
"183",FALSE,1978,"Robin Jones","C",1,0,0,0,2,0,0.55,5,1
"184",FALSE,1978,"Wil Jones","PF",4,1,0,0,6,1,0.44,21,3
"185",FALSE,1978,"Eddie Jordan","PG",1,2,0,1,7,1,0.4,16,1
"186",FALSE,1978,"Eddie Jordan","PG",0,1,0,0,2,0,0.339,7,0
"187",FALSE,1978,"Eddie Jordan","PG",2,2,0,2,10,1,0.407,20,1
"188",FALSE,1978,"George Karl","PG",1,1,0,0,1,1,0.333,7,1
"189",FALSE,1978,"Rich Kelley","C",9,2,1,1,10,2,0.505,25,3
"190",FALSE,1978,"Larry Kenon","SF",9,3,0,1,20,3,0.489,35,2
"191",FALSE,1978,"Bernard King*","SF",9,2,0,1,24,3,0.479,39,3
"192",FALSE,1978,"Billy Knight","SF",7,3,0,1,22,3,0.494,40,2
"193",FALSE,1978,"Toby Knight","SF",4,0,0,0,6,1,0.477,14,2
"194",FALSE,1978,"Steve Kuberski","PF",2,0,0,0,0,0,0.25,4,0
"195",FALSE,1978,"John Kuester","PG",1,3,0,0,4,1,0.455,15,1
"196",FALSE,1978,"Kevin Kunnert","C",8,1,1,0,10,1,0.437,26,3
"197",FALSE,1978,"Mitch Kupchak","PF",6,1,0,0,15,2,0.512,26,2
"198",FALSE,1978,"C.J. Kupec","SF",1,1,0,0,3,0,0.426,12,1
"199",FALSE,1978,"Sam Lacey","C",8,3,1,1,8,2,0.449,27,3
"200",FALSE,1978,"Tom LaGarde","C",2,0,0,0,3,1,0.405,11,1
"201",FALSE,1978,"John Lambert","PF",4,0,0,0,4,0,0.423,14,2
"202",FALSE,1978,"Mark Landsberger","PF",4,0,0,0,5,1,0.506,14,1
"203",FALSE,1978,"Bob Lanier*","C",11,3,1,1,24,3,0.537,36,2
"204",FALSE,1978,"Rich Laurel","SG",1,0,0,0,2,0,0.323,5,1
"205",FALSE,1978,"Mo Layton","PG",0,2,0,0,4,1,0.506,12,1
"206",FALSE,1978,"Ron Lee","PG",3,3,0,2,12,2,0.439,23,3
"207",FALSE,1978,"Scott Lloyd","C",2,0,0,0,2,0,0.415,9,1
"208",FALSE,1978,"Scott Lloyd","C",1,0,0,0,2,0,0.364,8,1
"209",FALSE,1978,"Scott Lloyd","C",2,0,0,0,3,0,0.425,10,1
"210",FALSE,1978,"John Lucas","PG",3,9,0,1,12,2,0.435,35,2
"211",TRUE,1978,"Maurice Lucas","PF",9,2,0,0,16,2,0.458,31,3
"212",FALSE,1978,"Moses Malone*","C",15,0,1,0,19,3,0.499,35,3
"213",FALSE,1978,"Pete Maravich*","SG",3,6,0,2,27,4,0.444,40,2
"214",FALSE,1978,"Ricky Marsh","SG",1,1,0,0,4,0,0.426,14,1
"215",FALSE,1978,"Cedric Maxwell","SF",5,0,0,0,7,1,0.538,16,2
"216",FALSE,1978,"Scott May","SF",6,2,0,0,13,2,0.454,32,3
"217",FALSE,1978,"Bob McAdoo*","C",12,3,1,1,26,4,0.52,40,3
"218",FALSE,1978,"Andre McCarter","PG",1,0,0,0,0,0,0,9,1
"219",FALSE,1978,"Ted McClain","PG",1,2,0,0,4,1,0.439,14,1
"220",FALSE,1978,"Ted McClain","PG",1,3,0,1,5,1,0.44,17,2
"221",FALSE,1978,"Ted McClain","PG",1,1,0,0,3,0,0.438,10,1
"222",FALSE,1978,"Jim McDaniels","C",4,1,0,0,5,1,0.427,16,2
"223",FALSE,1978,"Jim McElroy","PG",2,3,0,0,9,1,0.473,23,1
"224",FALSE,1978,"George McGinnis","PF",10,3,0,1,20,4,0.463,32,3
"225",FALSE,1978,"Tom McMillen","C",6,1,0,0,9,1,0.493,24,3
"226",FALSE,1978,"Jim McMillian","SF",3,2,0,0,8,1,0.462,24,1
"227",FALSE,1978,"Larry McNeill","PF",4,1,0,0,10,1,0.455,20,2
"228",FALSE,1978,"Larry McNeill","PF",1,0,0,0,3,0,0.333,7,1
"229",FALSE,1978,"Larry McNeill","PF",5,1,0,0,11,1,0.462,23,2
"230",FALSE,1978,"John Mengelt","SG",1,2,0,0,10,1,0.481,21,2
"231",FALSE,1978,"Joe Meriweather","C",6,1,2,0,8,1,0.472,23,3
"232",FALSE,1978,"Dave Meyers","PF",6,3,0,1,14,2,0.461,30,3
"233",FALSE,1978,"Steve Mix","SF",3,2,0,1,9,1,0.52,22,1
"234",FALSE,1978,"Larry Moffett","SF",1,0,0,0,0,0,0.294,5,0
"235",FALSE,1978,"Eric Money","PG",2,4,0,1,18,4,0.5,33,3
"236",FALSE,1978,"Earl Monroe*","SG",2,4,0,0,17,2,0.495,31,2
"237",FALSE,1978,"Glenn Mosley","PF",0,0,0,0,2,0,0.385,3,0
"238",FALSE,1978,"Calvin Murphy*","SG",2,3,0,1,25,2,0.491,38,3
"239",FALSE,1978,"Bob Nash","SF",2,0,0,0,5,0,0.516,12,1
"240",FALSE,1978,"Swen Nater","C",13,2,0,0,15,2,0.504,35,3
"241",FALSE,1978,"Lloyd Neal","PF",6,1,0,0,11,1,0.504,19,2
"242",FALSE,1978,"Louie Nelson","SG",1,1,0,0,6,1,0.403,12,1
"243",FALSE,1978,"Louie Nelson","SG",0,0,0,0,1,1,0.214,6,0
"244",FALSE,1978,"Louie Nelson","SG",1,1,0,0,8,1,0.416,14,1
"245",FALSE,1978,"Johnny Neumann","SG",0,1,0,0,4,1,0.407,10,1
"246",FALSE,1978,"Mike Newlin","SG",2,4,0,1,12,2,0.436,26,2
"247",FALSE,1978,"Norm Nixon","PG",2,6,0,1,13,3,0.497,34,3
"248",FALSE,1978,"Willie Norwood","SF",3,0,0,0,5,1,0.409,17,2
"249",FALSE,1978,"Willie Norwood","SF",3,0,0,0,5,1,0.415,16,2
"250",FALSE,1978,"Willie Norwood","SF",3,1,0,0,5,2,0.404,18,2
"251",FALSE,1978,"Mark Olberding","PF",4,1,0,0,8,1,0.481,22,2
"252",FALSE,1978,"Eddie Owens","SF",1,0,0,0,2,0,0.429,7,1
"253",FALSE,1978,"Tom Owens","C",6,1,0,0,10,1,0.49,20,3
"254",FALSE,1978,"Joe Pace","C",2,0,0,0,3,0,0.479,8,1
"255",FALSE,1978,"Robert Parish*","C",8,1,1,0,12,2,0.472,24,3
"256",FALSE,1978,"Sonny Parker","SF",4,1,0,1,11,1,0.519,25,2
"257",FALSE,1978,"Billy Paultz","C",8,2,2,0,15,2,0.529,30,2
"258",FALSE,1978,"Curtis Perry","PF",5,1,0,0,6,1,0.453,18,2
"259",FALSE,1978,"Cliff Pondexter","PF",2,1,0,0,2,0,0.435,12,1
"260",FALSE,1978,"Ben Poquette","PF",2,0,0,0,4,0,0.422,12,1
"261",FALSE,1978,"Howard Porter","SF",4,0,0,0,11,0,0.487,21,2
"262",FALSE,1978,"Howard Porter","SF",2,0,0,0,4,0,0.372,13,1
"263",FALSE,1978,"Howard Porter","SF",4,0,0,0,12,0,0.495,22,2
"264",FALSE,1978,"Kevin Porter","PG",2,10,0,1,15,4,0.469,34,3
"265",FALSE,1978,"Kevin Porter","PG",1,4,0,0,4,1,0.452,15,2
"266",FALSE,1978,"Kevin Porter","PG",2,10,0,1,16,4,0.47,36,3
"267",FALSE,1978,"Jim Price","PG",3,3,0,1,8,2,0.448,23,2
"268",FALSE,1978,"Jim Price","PG",3,3,0,1,6,2,0.481,22,2
"269",FALSE,1978,"Jim Price","PG",2,3,0,1,11,2,0.421,24,2
"270",FALSE,1978,"Ed Ratleff","SF",2,2,0,0,4,0,0.419,17,1
"271",FALSE,1978,"Clifford Ray","C",9,1,1,0,8,1,0.571,28,3
"272",FALSE,1978,"Robert Reid","SF",4,1,0,0,7,1,0.455,23,3
"273",FALSE,1978,"Kevin Restani","PF",2,0,0,0,2,0,0.431,10,0
"274",FALSE,1978,"Kevin Restani","PF",1,1,0,0,3,0,0.464,10,0
"275",FALSE,1978,"Kevin Restani","PF",2,0,0,0,2,0,0.424,10,0
"276",FALSE,1978,"Anthony Roberts","SF",4,1,0,0,9,1,0.423,19,2
"277",FALSE,1978,"Tony Robertson","SG",1,1,0,1,5,1,0.441,14,2
"278",TRUE,1978,"Truck Robinson","PF",15,2,0,0,22,3,0.444,44,3
"279",FALSE,1978,"Bill Robinzine","PF",6,0,0,0,9,2,0.451,21,3
"280",FALSE,1978,"Dave Robisch","C",4,1,0,0,5,0,0.412,16,1
"281",FALSE,1978,"Dave Robisch","C",7,2,0,0,8,1,0.403,26,2
"282",FALSE,1978,"Dave Robisch","C",3,0,0,0,4,0,0.418,12,1
"283",FALSE,1978,"Tree Rollins","C",6,0,2,0,7,1,0.487,22,4
"284",FALSE,1978,"Dan Roundfield","PF",10,2,1,1,13,2,0.489,30,3
"285",FALSE,1978,"Curtis Rowe","PF",3,0,0,0,6,1,0.451,17,1
"286",FALSE,1978,"Campy Russell","SF",6,3,0,1,19,2,0.448,35,2
"287",FALSE,1978,"Cazzie Russell","SF",2,1,0,0,8,0,0.438,21,1
"288",FALSE,1978,"Fred Saunders","SF",1,0,0,0,4,0,0.423,11,1
"289",FALSE,1978,"Fred Saunders","SF",1,0,0,0,2,0,0.33,9,1
"290",FALSE,1978,"Fred Saunders","SF",2,1,0,0,5,0,0.483,13,2
"291",FALSE,1978,"Dale Schlueter","C",2,1,0,0,2,1,0.421,10,2
"292",FALSE,1978,"Alvin Scott","SF",4,1,0,0,6,1,0.488,18,1
"293",FALSE,1978,"Charlie Scott","SG",3,4,0,1,13,3,0.438,31,3
"294",FALSE,1978,"Charlie Scott","SG",3,4,0,1,16,3,0.433,34,3
"295",FALSE,1978,"Charlie Scott","SG",3,4,0,1,11,2,0.442,29,3
"296",FALSE,1978,"Bruce Seals","SF",3,1,0,0,7,1,0.417,18,2
"297",FALSE,1978,"Lonnie Shelton","PF",7,2,1,1,14,2,0.514,28,4
"298",FALSE,1978,"Steve Sheppard","SF",2,0,0,0,4,0,0.454,10,1
"299",FALSE,1978,"John Shumate","PF",8,2,0,1,14,2,0.506,34,2
"300",FALSE,1978,"John Shumate","PF",7,3,0,0,12,2,0.497,32,3
"301",FALSE,1978,"John Shumate","PF",8,1,0,1,15,3,0.508,35,2
"302",FALSE,1978,"Jack Sikma","C",8,1,0,0,10,2,0.455,27,3
"303",FALSE,1978,"James Silas","PG",0,1,0,0,3,0,0.443,8,0
"304",FALSE,1978,"Paul Silas","PF",8,1,0,0,5,1,0.397,26,2
"305",FALSE,1978,"Ralph Simpson","SG",2,2,0,1,8,1,0.375,20,1
"306",FALSE,1978,"Ralph Simpson","SG",2,2,0,1,10,2,0.413,23,1
"307",FALSE,1978,"Ralph Simpson","SG",2,2,0,1,5,1,0.317,18,1
"308",FALSE,1978,"Scott Sims","PG",1,1,0,0,2,1,0.385,7,1
"309",FALSE,1978,"Al Skinner","SG",2,1,0,0,7,2,0.455,20,3
"310",FALSE,1978,"Al Skinner","SG",6,4,0,1,15,3,0.406,34,4
"311",FALSE,1978,"Al Skinner","SG",2,1,0,0,7,1,0.468,18,3
"312",FALSE,1978,"Bingo Smith","SG",2,1,0,0,10,0,0.439,19,1
"313",FALSE,1978,"Elmore Smith","C",8,0,2,0,12,1,0.497,24,2
"314",FALSE,1978,"Phil Smith","SG",3,4,0,1,19,3,0.472,35,2
"315",FALSE,1978,"Randy Smith","SG",3,5,0,2,24,3,0.465,40,2
"316",FALSE,1978,"Robert Smith","PG",0,0,0,0,2,0,0.515,8,1
"318",FALSE,1978,"Dick Snyder","SG",0,0,0,0,4,0,0.444,11,1
"319",FALSE,1978,"Ricky Sobers","PG",4,7,0,2,18,4,0.453,38,3
"320",FALSE,1978,"Kevin Stacom","SG",1,2,0,0,8,1,0.426,18,1
"321",FALSE,1978,"Larry Steele","SG",1,1,0,0,8,1,0.47,17,2
